age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
62,173.3,75.6,F,non,master,Auvergne-Rhône-Alpes,oui,oui,3634.0,marié,4.0,0.93,595.0,1083.536,18094.90172010177
27,170.4,58.9,F,non,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2303.0,divorcé,5.0,0.95,478.0,1036.642,500.0
66,167.8,76.4,H,non,bac,Île-de-France,oui,oui,1759.0,marié,1.0,0.83,553.0,841.074,10508.958169952964
49,171.7,64.8,F,oui,master,Corse,non,non,2369.0,divorcé,5.0,0.16,557.0,834.618,500.0
69,154.7,84.0,F,oui,doctorat,Occitanie,non,oui,4653.0,célibataire,0.0,0.41,321.0,645.726,28626.23311421219
45,164.1,92.8,F,oui,aucun,Occitanie,non,non,2661.0,divorcé,1.0,0.47,553.0,796.7719999999999,500.0
53,172.2,77.0,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,500.0,marié,2.0,0.42,606.0,713.5759999999999,6791.945868893442
35,179.6,75.4,H,non,bac,Île-de-France,oui,oui,3103.0,veuf,1.0,0.8,553.0,1204.87,10856.91282140522
72,166.4,60.9,H,non,doctorat,Hauts-de-France,oui,non,3922.0,célibataire,5.0,0.01,557.0,1037.66,500.0
29,167.4,76.8,F,non,bac,Normandie,non,oui,3986.0,célibataire,4.0,0.43,368.0,1289.58,13136.35075059826
59,170.3,75.0,H,non,doctorat,Corse,oui,oui,5501.0,célibataire,1.0,0.79,628.0,988.994,20069.891635762317
36,175.0,64.2,H,oui,bac,Auvergne-Rhône-Alpes,non,oui,2489.0,veuf,3.0,0.73,449.0,607.1000000000001,16951.603550852673
58,172.2,69.5,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,1108.0,célibataire,1.0,0.28,553.0,721.398,500.0
37,168.9,65.5,F,non,master,Hauts-de-France,oui,non,665.0,divorcé,0.0,0.89,827.0,842.682,500.0
24,160.5,74.7,H,non,aucun,Occitanie,oui,non,2843.0,marié,5.0,0.73,453.0,768.5260000000001,500.0
57,162.0,77.9,H,oui,bac,Bretagne,oui,non,1984.0,divorcé,3.0,0.89,451.0,588.21,500.0
25,175.8,59.7,F,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,1503.0,divorcé,1.0,0.7,553.0,902.8380000000001,19262.618653466987
31,170.0,75.6,F,non,aucun,Bretagne,oui,oui,2882.0,divorcé,0.0,0.44,573.0,767.55,4958.093848446732
60,174.0,98.9,H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,2260.0,divorcé,3.0,0.92,640.0,683.436,16332.531480122769
70,173.1,62.0,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,1839.0,veuf,4.0,0.37,546.0,708.818,8834.20723482096
59,186.6,56.1,F,non,aucun,Bretagne,non,non,2409.0,divorcé,1.0,0.75,553.0,747.512,500.0
40,163.2,81.4,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,500.0,veuf,3.0,0.62,621.0,906.95,10970.335139378954
59,146.9,80.9,F,non,master,Bretagne,oui,non,1631.0,célibataire,4.0,0.32,576.0,742.66,500.0
20,161.0,47.3,H,oui,aucun,Bretagne,non,oui,500.0,veuf,4.0,0.0,576.0,806.098,13974.147005918265
61,162.6,44.6,F,non,doctorat,Hauts-de-France,non,oui,3813.0,marié,4.0,0.66,608.0,865.5780000000001,21288.389851588887
62,160.1,69.9,H,oui,bac+2,Normandie,non,oui,2944.0,divorcé,1.0,0.15,553.0,873.97,24807.49331799818
27,171.0,60.8,F,non,bac+2,Hauts-de-France,oui,oui,1787.0,marié,3.0,0.09,581.0,650.222,500.0
53,182.4,72.2,F,oui,bac,Corse,non,oui,1627.0,veuf,0.0,0.27,356.0,678.4,500.0
22,160.6,88.6,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,858.0,veuf,0.0,0.23,786.0,821.016,3195.0854436875466
19,184.6,86.2,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,non,4252.0,célibataire,1.0,0.27,401.0,803.412,500.0
47,174.4,83.7,F,oui,master,Bretagne,oui,oui,1537.0,célibataire,3.0,0.35,682.0,886.96,25491.392829455865
48,174.4,61.0,F,non,doctorat,Normandie,non,oui,1131.0,célibataire,0.0,0.06,467.0,671.032,18195.158740213275
52,173.7,71.3,H,oui,bac,Normandie,oui,non,4589.0,divorcé,0.0,0.55,389.0,718.108,500.0
41,156.3,59.6,H,oui,master,Corse,non,oui,3877.0,célibataire,2.0,0.69,577.0,647.4739999999999,24453.461863581266
42,178.1,93.9,F,non,aucun,Hauts-de-France,non,non,1637.0,veuf,5.0,0.09,591.0,292.94,500.0
46,166.7,63.8,H,non,doctorat,Occitanie,oui,oui,2274.0,veuf,2.0,0.89,577.0,923.4939999999999,16434.10507499428
46,173.0,76.7,H,non,master,Normandie,non,oui,4112.0,célibataire,3.0,0.07,581.0,665.4259999999999,30351.331916078558
55,175.2,44.7,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,987.0,marié,0.0,0.02,778.0,696.784,13882.841056177624
63,174.1,65.7,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,1106.0,divorcé,1.0,0.93,559.0,750.434,17470.91347498265
23,166.8,103.2,F,oui,bac,Hauts-de-France,non,non,716.0,divorcé,5.0,0.71,632.0,638.208,500.0
60,173.9,74.6,H,oui,bac,Hauts-de-France,non,oui,4276.0,divorcé,0.0,0.15,478.0,777.494,16040.427506050592
58,151.3,81.4,H,non,master,Hauts-de-France,non,non,3772.0,divorcé,4.0,0.37,386.0,677.904,500.0
26,170.5,77.9,H,non,doctorat,Île-de-France,oui,oui,657.0,célibataire,1.0,0.43,553.0,741.508,13996.712302238768
69,150.4,86.4,H,non,aucun,Île-de-France,oui,non,2686.0,veuf,1.0,0.0,457.0,975.93,500.0
57,163.5,97.9,H,oui,bac,Normandie,oui,oui,3183.0,célibataire,5.0,0.87,557.0,820.406,11329.728378623
40,180.0,74.8,F,oui,doctorat,Hauts-de-France,non,oui,1175.0,marié,2.0,0.84,763.0,641.362,22166.333438067617
33,165.9,63.4,H,oui,bac,Île-de-France,oui,oui,2220.0,marié,3.0,0.12,581.0,576.24,5323.233433464113
60,176.9,79.4,H,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,3042.0,veuf,2.0,0.03,596.0,554.51,34442.777781919875
58,170.0,64.1,F,non,doctorat,Hauts-de-France,non,oui,2724.0,célibataire,5.0,0.11,557.0,629.2360000000001,18479.79922513718
50,161.4,40.7,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,3136.0,marié,3.0,0.98,581.0,353.46,500.0
52,180.3,100.8,F,non,bac+2,Occitanie,non,oui,4518.0,marié,2.0,0.07,834.0,1135.262,22743.289460155636
69,193.19399999999996,78.1,H,non,bac,Auvergne-Rhône-Alpes,non,non,2321.0,veuf,3.0,0.67,581.0,921.01,500.0
41,175.1,96.6,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,2296.0,célibataire,1.0,0.73,664.0,324.22,26039.1924673522
38,161.5,83.3,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,3720.0,divorcé,4.0,0.86,576.0,683.53,8333.450879489175
42,166.5,65.0,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,2507.0,marié,3.0,0.21,665.0,590.316,32502.45738968504
71,164.2,70.7,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,956.0,divorcé,2.0,0.42,577.0,1053.1860000000001,31005.98202931224
59,163.3,43.6,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,1236.0,célibataire,5.0,0.82,797.0,621.3720000000001,30334.938442549043
42,167.2,68.1,F,non,bac+2,Hauts-de-France,oui,non,770.0,veuf,1.0,0.2,530.0,735.374,500.0
21,162.5,59.4,H,non,doctorat,Provence-Alpes-Côte d’Azur,non,non,1948.0,veuf,0.0,0.94,580.0,900.086,500.0
53,147.4,82.4,F,non,bac,Bretagne,non,oui,3307.0,veuf,4.0,0.67,576.0,937.16,13109.174932150589
52,168.8,53.4,H,oui,bac+2,Normandie,non,oui,1184.0,célibataire,0.0,0.53,580.0,824.708,19058.859948114423
68,168.7,44.6,F,non,bac+2,Hauts-de-France,non,oui,4327.0,célibataire,0.0,0.37,671.0,802.22,21377.04583434361
35,170.3,55.1,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2704.0,marié,0.0,0.26,443.0,884.836,17229.709250531378
41,170.4,69.2,H,oui,bac,Bretagne,non,oui,2639.0,marié,1.0,0.6,553.0,741.266,26010.58630043527
28,175.5,54.8,F,oui,bac+2,Normandie,non,oui,3633.0,divorcé,1.0,0.77,756.0,1002.762,19853.504939045702
43,165.6,75.5,H,non,bac,Hauts-de-France,oui,non,3056.0,marié,3.0,0.09,780.0,652.5,500.0
38,177.7,48.1,F,oui,bac+2,Hauts-de-France,oui,oui,3801.0,veuf,0.0,0.83,580.0,682.47,11418.884064746571
18,163.8,72.6,H,oui,aucun,Normandie,oui,non,3042.0,veuf,4.0,0.61,576.0,554.51,500.0
29,169.2,67.1,F,oui,master,Occitanie,oui,oui,3145.0,divorcé,4.0,0.27,576.0,874.79,22914.99168546076
75,168.2,85.5,H,non,bac+2,Bretagne,oui,non,2599.0,veuf,5.0,0.28,557.0,1046.914,500.0
73,172.9,78.6,H,oui,bac,Hauts-de-France,oui,oui,4151.0,marié,4.0,0.69,576.0,933.358,12190.848654481688
45,168.3,89.6,H,non,aucun,Hauts-de-France,non,oui,3410.0,marié,5.0,0.43,707.0,1014.8,11206.62143586454
58,167.0,69.4,H,non,doctorat,Normandie,oui,non,1980.0,veuf,0.0,0.31,580.0,920.45,500.0
53,175.7,64.9,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,3250.0,marié,5.0,0.66,557.0,1023.518,16924.14431523937
42,183.1,70.3,H,oui,doctorat,Auvergne-Rhône-Alpes,non,oui,1925.0,veuf,4.0,0.88,674.0,713.958,39179.539908572944
31,164.4,59.0,H,oui,master,Bretagne,non,oui,2918.0,veuf,1.0,0.53,553.0,1108.38,35674.54425456137
32,176.1,88.5,H,oui,master,Occitanie,non,oui,2603.0,célibataire,1.0,0.8,558.0,773.056,36000.05811992677
67,193.19399999999996,77.6,F,oui,bac+2,Corse,non,oui,3866.0,marié,0.0,0.96,580.0,712.67,16844.098492553883
64,181.4,88.2,H,oui,master,Occitanie,non,oui,3337.0,célibataire,2.0,0.67,687.0,793.052,32790.127870949305
36,158.1,35.806,H,oui,master,Normandie,non,non,1655.0,célibataire,5.0,0.24,557.0,851.4739999999999,5177.434130280867
26,176.0,75.7,F,oui,aucun,Corse,non,oui,1954.0,divorcé,5.0,0.96,557.0,814.3120000000001,6366.342859916189
26,171.1,68.6,H,oui,bac,Hauts-de-France,non,oui,2315.0,veuf,2.0,0.3,749.0,924.6200000000001,17200.94367853948
62,153.4,54.6,H,non,doctorat,Occitanie,oui,oui,2560.0,veuf,0.0,0.45,557.0,918.018,20101.202727313528
25,156.9,65.9,H,oui,bac,Corse,oui,non,1731.0,marié,3.0,0.67,581.0,829.0260000000001,500.0
46,171.1,74.5,H,oui,aucun,Île-de-France,non,oui,3665.0,marié,0.0,0.29,356.0,1112.17,17977.875617211103
20,165.0,58.1,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1815.0,marié,3.0,0.52,581.0,547.96,16183.317063799392
65,163.6,88.4,H,non,aucun,Corse,non,non,3778.0,divorcé,0.0,0.8,595.0,1054.4919999999997,500.0
52,166.2,44.3,F,oui,master,Auvergne-Rhône-Alpes,non,oui,1581.0,marié,3.0,0.09,711.0,870.684,28646.555726940034
47,154.5,59.3,F,non,master,Occitanie,oui,oui,855.0,divorcé,3.0,0.07,581.0,1001.6380000000001,500.0
52,154.0,72.4,H,oui,bac,Occitanie,oui,oui,1605.0,marié,3.0,0.97,568.0,734.0719999999999,4721.270985384865
70,168.8,64.4,F,oui,bac,Île-de-France,non,oui,2490.0,marié,2.0,0.58,324.0,607.1,11850.369614690995
68,163.9,37.5,H,non,doctorat,Normandie,oui,oui,500.0,célibataire,3.0,0.63,754.0,654.534,13519.885861560002
62,159.0,54.6,F,non,aucun,Bretagne,non,oui,1580.0,veuf,5.0,0.83,496.0,836.5600000000001,500.0
18,172.1,48.5,F,oui,bac+2,Bretagne,oui,non,4391.0,veuf,5.0,0.95,557.0,634.864,500.0
27,181.2,59.8,H,non,bac+2,Corse,oui,oui,1430.0,célibataire,5.0,0.09,557.0,696.388,500.0
25,180.2,81.4,F,non,bac+2,Normandie,oui,oui,2868.0,veuf,5.0,0.27,557.0,656.09,3936.987882199189
33,157.8,83.1,H,oui,doctorat,Hauts-de-France,non,non,5013.0,célibataire,3.0,0.56,606.0,1102.45,23530.673118409748
74,173.0,93.2,F,non,bac+2,Île-de-France,oui,oui,1923.0,divorcé,4.0,0.85,576.0,713.958,9548.136652521298
38,159.6,81.1,H,oui,aucun,Bretagne,non,oui,2434.0,célibataire,1.0,0.47,553.0,664.93,15614.34166031232
56,184.5,63.8,H,non,master,Auvergne-Rhône-Alpes,oui,non,1564.0,célibataire,4.0,0.05,576.0,400.222,500.0
70,164.3,67.4,F,non,doctorat,Normandie,non,oui,3815.0,marié,4.0,0.64,576.0,803.632,23774.942935441304
50,164.5,76.8,H,oui,doctorat,Hauts-de-France,non,oui,3118.0,marié,2.0,0.02,577.0,498.13,34422.793749033444
26,186.8,69.4,H,oui,doctorat,Occitanie,oui,non,2709.0,divorcé,0.0,0.84,580.0,827.5620000000001,500.0
27,167.9,51.7,H,oui,bac,Île-de-France,oui,non,4923.0,divorcé,1.0,0.9,720.0,904.94,500.0
66,156.6,49.3,H,non,bac,Corse,oui,oui,1152.0,divorcé,5.0,0.2,614.0,820.344,500.0
52,172.5,67.9,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,1704.0,veuf,2.0,0.04,577.0,965.57,9216.207178620856
46,162.3,56.6,F,oui,master,Occitanie,oui,oui,4556.0,marié,1.0,0.31,558.0,760.484,14310.105944880894
73,173.4,45.2,F,non,aucun,Occitanie,oui,oui,2777.0,divorcé,4.0,0.31,576.0,1000.21,500.0
47,178.6,97.3,F,oui,bac,Bretagne,oui,oui,2697.0,célibataire,2.0,0.07,593.0,872.61,4136.961924127789
36,172.7,103.2,H,oui,doctorat,Hauts-de-France,oui,non,3379.0,veuf,3.0,0.08,632.0,900.208,500.0
56,164.2,82.4,F,non,master,Occitanie,oui,oui,963.0,marié,2.0,0.06,808.0,825.348,13706.389154946404
37,164.6,90.1,F,oui,bac,Bretagne,non,oui,2101.0,marié,4.0,0.2,576.0,1038.872,14866.12069737865
40,154.5,83.4,F,oui,master,Normandie,oui,non,986.0,marié,5.0,0.46,557.0,601.832,500.0
58,186.4,78.8,H,non,bac+2,Corse,non,oui,2730.0,célibataire,0.0,0.49,306.0,729.298,13357.067779901594
29,172.7,90.2,H,non,bac+2,Île-de-France,non,non,2446.0,veuf,3.0,0.09,581.0,701.9499999999999,500.0
26,169.0,63.1,H,non,bac,Auvergne-Rhône-Alpes,non,oui,888.0,veuf,2.0,0.13,684.0,458.53,12878.232973245456
23,156.7,53.8,F,oui,master,Normandie,oui,oui,3122.0,célibataire,3.0,0.01,581.0,520.07,13927.24723130989
42,189.1,85.0,H,non,master,Bretagne,non,non,2843.0,marié,0.0,0.03,335.0,715.518,7502.270222325245
64,178.9,53.7,F,oui,master,Provence-Alpes-Côte d’Azur,oui,non,1960.0,divorcé,5.0,0.86,557.0,641.038,500.0
23,178.2,46.3,H,oui,doctorat,Normandie,oui,non,2752.0,veuf,4.0,0.72,308.0,519.52,500.0
28,164.8,74.7,H,non,master,Provence-Alpes-Côte d’Azur,oui,non,4656.0,divorcé,2.0,0.83,577.0,645.726,2776.0609225830044
74,169.5,47.2,H,non,master,Normandie,oui,non,4629.0,veuf,3.0,0.85,581.0,599.914,500.0
70,162.7,64.0,H,non,master,Bretagne,non,oui,2403.0,divorcé,4.0,0.77,576.0,981.972,29413.15319571625
51,169.2,84.8,H,non,bac+2,Hauts-de-France,oui,non,1570.0,divorcé,1.0,0.59,302.0,524.3100000000001,500.0
66,172.9,74.9,H,non,aucun,Auvergne-Rhône-Alpes,non,non,574.0,veuf,2.0,0.29,577.0,785.8320000000001,500.0
66,167.0,87.0,H,non,aucun,Corse,oui,non,2824.0,veuf,2.0,0.01,577.0,1122.674,500.0
23,172.8,67.9,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,2114.0,célibataire,3.0,0.0,581.0,725.822,11307.782559114445
23,191.3,59.5,H,oui,bac+2,Occitanie,oui,non,1853.0,marié,5.0,0.1,557.0,791.276,500.0
72,171.4,59.9,H,oui,master,Normandie,oui,non,2420.0,veuf,2.0,0.51,677.0,664.4159999999999,500.0
31,154.8,53.0,F,oui,master,Provence-Alpes-Côte d’Azur,non,oui,859.0,célibataire,5.0,0.62,659.0,922.392,24135.058602084555
72,162.5,64.7,F,non,bac,Corse,oui,oui,1293.0,veuf,0.0,0.06,692.0,803.36,500.0
19,184.1,77.1,H,oui,bac,Occitanie,non,oui,3539.0,célibataire,0.0,0.59,580.0,546.456,13612.407133409852
22,171.4,63.0,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,3441.0,veuf,3.0,0.07,581.0,851.302,8437.208767183267
64,160.9,70.7,F,non,aucun,Auvergne-Rhône-Alpes,non,oui,1012.0,célibataire,2.0,0.21,719.0,949.92,500.0
37,176.2,90.4,H,oui,aucun,Corse,oui,oui,778.0,célibataire,1.0,0.78,553.0,661.674,500.0
28,180.0,66.1,F,oui,bac,Île-de-France,oui,non,3265.0,divorcé,5.0,0.7,416.0,599.094,500.0
58,164.7,66.6,F,oui,master,Auvergne-Rhône-Alpes,non,non,2706.0,veuf,5.0,0.83,557.0,900.2439999999999,3877.8074054585
29,153.9,70.7,F,oui,doctorat,Normandie,oui,oui,2556.0,divorcé,2.0,0.42,577.0,730.0559999999999,11820.033586900914
71,174.9,55.1,H,oui,doctorat,Normandie,oui,non,1180.0,marié,3.0,0.2,581.0,840.9359999999999,500.0
65,160.2,90.5,H,oui,master,Île-de-France,oui,oui,2399.0,marié,4.0,0.97,378.0,894.4619999999999,13779.911053967198
46,175.9,64.2,H,non,aucun,Hauts-de-France,non,oui,3674.0,veuf,3.0,0.91,805.0,980.67,3164.246634451308
49,169.0,72.2,H,non,master,Occitanie,oui,oui,1357.0,marié,5.0,0.93,557.0,617.11,11560.70320160385
72,172.7,93.4,H,non,bac,Île-de-France,non,non,3264.0,veuf,4.0,0.56,576.0,599.094,929.7763521751212
21,184.2,68.2,F,oui,doctorat,Bretagne,oui,oui,2582.0,célibataire,4.0,0.35,576.0,782.222,34147.79260060682
46,165.3,84.8,H,oui,aucun,Occitanie,non,oui,1619.0,marié,1.0,0.11,553.0,898.284,15302.681075646327
30,157.3,60.3,H,non,aucun,Hauts-de-France,non,non,2043.0,veuf,1.0,0.46,315.0,789.0999999999999,500.0
32,167.9,50.7,F,oui,doctorat,Hauts-de-France,oui,oui,3001.0,marié,5.0,0.63,557.0,838.854,18178.48080575543
29,172.6,79.2,H,oui,doctorat,Hauts-de-France,non,oui,2105.0,célibataire,4.0,0.31,576.0,880.0859999999999,23766.373186543675
39,179.0,59.0,F,non,bac+2,Hauts-de-France,non,non,500.0,célibataire,5.0,0.87,746.0,837.7660000000002,500.0
34,165.0,87.1,H,non,doctorat,Normandie,oui,oui,2326.0,divorcé,4.0,0.84,654.0,653.408,11882.756633659226
69,166.7,73.6,F,oui,master,Hauts-de-France,oui,oui,1275.0,divorcé,3.0,0.35,399.0,672.77,500.0
55,180.9,68.7,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,2442.0,divorcé,0.0,0.23,536.0,611.582,10830.209741177352
54,186.1,81.8,F,non,bac+2,Corse,non,oui,1305.0,célibataire,2.0,0.81,693.0,646.28,10101.05452495821
26,168.4,76.6,H,oui,master,Provence-Alpes-Côte d’Azur,oui,oui,1803.0,divorcé,0.0,0.93,580.0,893.7280000000001,12610.398169813208
67,173.8,82.2,F,non,bac,Île-de-France,non,oui,2884.0,célibataire,2.0,0.1,550.0,862.4100000000001,19179.76512783229
66,176.7,52.3,H,non,aucun,Hauts-de-France,oui,oui,1313.0,veuf,0.0,0.6,580.0,871.0039999999999,500.0
42,159.0,47.9,H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2623.0,veuf,3.0,0.14,581.0,1022.6580000000001,26853.928695081147
26,163.4,66.7,F,oui,master,Hauts-de-France,oui,non,1157.0,divorcé,3.0,0.72,581.0,941.8459999999999,500.0
61,159.2,54.3,F,oui,master,Auvergne-Rhône-Alpes,oui,non,500.0,célibataire,0.0,0.26,835.0,878.36,500.0
73,169.1,91.0,F,oui,master,Île-de-France,oui,non,500.0,divorcé,5.0,0.64,362.0,880.78,500.0
57,173.3,63.1,F,non,bac+2,Corse,non,oui,1929.0,célibataire,4.0,0.43,576.0,534.39,500.0
32,164.5,80.0,F,non,bac+2,Bretagne,oui,oui,4212.0,divorcé,0.0,0.95,498.0,740.538,7340.3351191521215
31,163.5,59.2,F,oui,bac+2,Normandie,oui,oui,2710.0,célibataire,2.0,0.67,577.0,733.522,8350.020806292578
75,166.7,65.4,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,3743.0,divorcé,4.0,0.19,576.0,982.6,500.0
45,172.0,90.1,F,oui,bac+2,Provence-Alpes-Côte d’Azur,non,non,3637.0,divorcé,5.0,0.66,559.0,1049.57,500.0
53,166.0,91.5,F,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,2399.0,veuf,3.0,0.99,581.0,960.552,24371.0037136856
56,162.4,67.1,F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,2735.0,divorcé,1.0,0.64,553.0,699.4440000000001,8307.651250757117
57,175.9,38.6,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,2829.0,divorcé,2.0,0.12,709.0,652.2520000000001,34155.3626437111
28,174.2,60.5,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,1425.0,marié,4.0,0.87,576.0,847.4559999999999,500.0
27,178.9,74.8,F,oui,aucun,Corse,non,non,2765.0,célibataire,3.0,0.98,490.0,750.1600000000001,500.0
74,191.0,90.6,F,oui,doctorat,Corse,non,oui,1239.0,veuf,0.0,0.14,580.0,660.438,19392.197578300144
32,171.2,60.0,F,non,doctorat,Bretagne,oui,oui,3498.0,célibataire,4.0,0.89,576.0,702.028,19448.51023941856
65,165.3,83.4,F,oui,bac+2,Auvergne-Rhône-Alpes,non,non,1742.0,marié,1.0,0.89,553.0,753.396,500.0
62,181.2,60.7,F,non,bac+2,Auvergne-Rhône-Alpes,non,non,1618.0,veuf,4.0,0.26,525.0,880.4560000000001,500.0
18,169.2,54.2,F,oui,master,Normandie,non,oui,616.0,célibataire,1.0,0.45,553.0,865.9399999999999,18874.85325054591
20,173.0,82.4,F,non,aucun,Auvergne-Rhône-Alpes,non,non,1116.0,divorcé,5.0,0.64,325.0,751.858,500.0
74,159.5,66.5,F,non,doctorat,Corse,non,oui,1557.0,marié,4.0,0.75,714.0,716.0980000000002,14999.72299381132
44,185.3,63.0,F,non,doctorat,Bretagne,oui,oui,5229.0,divorcé,2.0,0.46,546.0,867.952,31985.810502368557
24,173.0,53.4,F,non,doctorat,Bretagne,oui,oui,500.0,veuf,1.0,0.5,439.0,806.098,1554.9784895225127
53,176.2,67.0,H,non,doctorat,Île-de-France,non,non,4676.0,veuf,2.0,0.78,577.0,884.7540000000001,13604.61722709536
66,160.9,57.4,F,non,master,Auvergne-Rhône-Alpes,oui,non,2140.0,marié,0.0,0.19,603.0,930.36,500.0
60,173.8,56.9,H,oui,doctorat,Île-de-France,non,oui,2846.0,divorcé,0.0,0.74,580.0,745.922,37134.03361326907
30,175.5,53.9,H,oui,doctorat,Île-de-France,non,oui,1799.0,marié,4.0,0.71,576.0,644.112,32006.62874522987
46,151.0,39.0,H,non,doctorat,Corse,oui,oui,2142.0,divorcé,3.0,0.17,581.0,954.79,3738.973660484334
31,164.4,53.9,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,1433.0,marié,2.0,0.77,577.0,818.266,500.0
66,152.7,77.5,H,non,bac+2,Hauts-de-France,non,non,1998.0,veuf,0.0,0.3,332.0,755.63,500.0
27,170.0,46.9,H,non,doctorat,Occitanie,non,oui,3940.0,célibataire,3.0,0.33,581.0,787.408,39248.30414047689
71,160.2,72.0,F,oui,aucun,Bretagne,non,oui,1848.0,divorcé,3.0,0.06,581.0,854.344,10887.25496705418
63,183.2,79.3,H,oui,master,Île-de-France,oui,non,2118.0,divorcé,2.0,0.72,306.0,992.732,500.0
64,170.9,76.7,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,2824.0,marié,2.0,0.76,577.0,1084.51,23709.566990356063
28,175.7,71.4,H,non,master,Hauts-de-France,oui,oui,3158.0,veuf,4.0,0.7,576.0,930.796,1105.0090464535544
63,189.4,64.9,H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2006.0,divorcé,4.0,0.4,576.0,759.5139999999999,15604.632244799475
21,193.19399999999996,73.3,F,non,bac,Bretagne,oui,non,585.0,veuf,5.0,0.69,734.0,769.3,500.0
53,174.1,71.8,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,4957.0,divorcé,2.0,0.49,577.0,907.21,30889.06847054531
61,163.5,56.1,F,non,bac,Bretagne,oui,oui,500.0,veuf,2.0,0.65,577.0,806.098,500.0
42,163.3,60.0,F,oui,aucun,Corse,non,oui,2385.0,marié,1.0,0.4,553.0,992.4060000000002,500.0
32,179.8,68.3,H,oui,bac,Île-de-France,non,non,500.0,marié,5.0,0.95,651.0,482.6199999999999,500.0
66,174.6,95.0,F,oui,bac,Normandie,oui,oui,1984.0,marié,2.0,0.9,577.0,790.0540000000001,500.0
28,187.1,63.6,H,non,master,Provence-Alpes-Côte d’Azur,oui,oui,1815.0,veuf,0.0,0.5,304.0,639.14,8071.638569685192
71,174.7,69.3,F,non,bac+2,Bretagne,oui,oui,2191.0,divorcé,0.0,0.04,580.0,918.8939999999999,5169.781301290168
70,156.7,80.3,F,non,aucun,Normandie,oui,oui,1944.0,célibataire,0.0,0.53,836.0,761.2819999999999,500.0
29,162.7,76.2,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,4457.0,veuf,3.0,0.49,503.0,796.758,19189.51348210835
22,176.9,76.4,F,non,bac+2,Occitanie,non,oui,2472.0,marié,4.0,0.02,576.0,865.6780000000001,1201.466648638526
26,161.4,72.9,F,non,bac+2,Île-de-France,non,oui,3578.0,divorcé,4.0,0.24,576.0,822.1200000000001,18516.1132155603
47,173.0,89.8,H,non,aucun,Auvergne-Rhône-Alpes,non,non,2338.0,marié,5.0,0.37,557.0,641.434,500.0
39,151.9,68.4,H,non,master,Auvergne-Rhône-Alpes,oui,non,4419.0,veuf,5.0,0.18,557.0,1307.961000000001,500.0
18,160.3,80.4,F,oui,doctorat,Normandie,oui,non,3973.0,divorcé,1.0,0.96,553.0,672.8439999999999,572.9266151975784
72,161.9,48.1,F,non,doctorat,Île-de-France,oui,non,2986.0,marié,2.0,0.17,577.0,623.516,500.0
39,162.4,74.1,F,oui,bac,Occitanie,oui,oui,2804.0,célibataire,4.0,0.25,449.0,688.716,1315.377855211905
55,174.4,73.2,F,non,bac+2,Auvergne-Rhône-Alpes,non,oui,3485.0,célibataire,1.0,0.14,690.0,484.16,14655.976575182704
51,166.8,54.2,F,oui,doctorat,Auvergne-Rhône-Alpes,non,non,3397.0,marié,1.0,0.93,553.0,689.05,6128.1928851452185
